,TransactionNumber,DateNumber,SpecieNumber,MarketingNumber,TermNumber,ImporterNumber,ExporterNumber,Quantity,UnitPrice,TotalPrice
0,134945,20160819,7053,273,931,1265,1252,50.0,627,31350.0
1,126844,20101208,6085,260,931,1265,1252,37.0,678,25086.0
2,126846,20131016,6085,367,921,1265,1264,60.0,504,30240.0
3,102376,20170318,3301,260,919,1265,1264,41.0,758,31078.0
4,126847,20171014,6085,282,919,1265,1264,5.0,761,3805.0
5,134948,20150501,7053,282,919,1265,1264,8.0,418,3344.0
6,134946,20170425,7053,277,914,1265,1252,79.0,752,59408.0
7,134947,20110104,7053,369,913,1265,1252,26.0,14,364.0
8,126843,20101109,6085,238,906,1265,1145,1.0,268,268.0
9,167085,20150811,6085,283,906,1265,1145,93.0,454,42222.0
10,126842,20100213,6085,260,906,1265,1145,40.0,272,10880.0
11,126845,20161001,6085,296,906,1265,1264,71.0,503,35713.0
12,126840,20090512,6085,201,906,1265,1093,81.0,999,80919.0
13,130350,20160831,6415,304,906,1265,1165,52.0,35,1820.0
14,104084,20160904,3595,220,904,1265,1168,97.0,552,53544.0
15,104415,20160319,3626,273,904,1265,1168,15.0,725,10875.0
16,116020,20110308,5058,364,904,1265,1168,5.0,413,2065.0
17,116252,20160905,5095,228,904,1265,1168,94.0,117,10998.0
18,116674,20090223,5197,372,904,1265,1168,78.0,331,25818.0
19,116720,20140909,5198,340,904,1265,1168,42.0,777,32634.0
20,116743,20130720,5199,251,904,1265,1168,11.0,738,8118.0
21,116905,20171005,5214,333,904,1265,1168,55.0,628,34540.0
22,117054,20100108,5225,275,904,1265,1168,43.0,49,2107.0
23,117253,20120212,5247,320,904,1265,1168,53.0,765,40545.0
24,117305,20090723,5254,204,904,1265,1168,52.0,291,15132.0
25,117501,20120721,5283,236,904,1265,1168,45.0,944,42480.0
26,117768,20160403,5319,290,904,1265,1168,31.0,851,26381.0
27,117852,20110109,5325,354,904,1265,1168,51.0,425,21675.0
28,117906,20170420,5337,295,904,1265,1168,9.0,304,2736.0
29,118092,20170618,5368,318,904,1265,1168,22.0,524,11528.0
30,118126,20160227,5370,304,904,1265,1168,55.0,813,44715.0
