TransactionNumber,DateNumber,SpecieNumber,MarketingNumber,TermNumber,ImporterNumber,ExporterNumber,Quantity,UnitPrice,TotalPrice
134945,20160819,7053,306,931,1265,1252,4,798,3192
126844,20101208,6085,303,931,1265,1252,4,541,2164
126846,20131016,6085,247,921,1265,1264,1,910,910
102376,20170318,3301,247,919,1265,1264,7,868,6076
126847,20171014,6085,247,919,1265,1264,4,663,2652
134948,20150501,7053,247,919,1265,1264,26,704,18304
134946,20170425,7053,247,914,1265,1252,4,629,2516
134947,20110104,7053,246,913,1265,1252,12,755,9060
126843,20101109,6085,346,906,1265,1145,114,901,102714
167085,20150811,6085,345,906,1265,1145,414,592,245088
126842,20100213,6085,342,906,1265,1145,50,669,33450
126845,20161001,6085,341,906,1265,1264,42157,758,31955006
126840,20090512,6085,332,906,1265,1093,79,911,71969
130350,20160831,6415,292,906,1265,1165,1,781,781
104084,20160904,3595,364,904,1265,1168,22,501,11022
104415,20160319,3626,364,904,1265,1168,75,701,52575
116020,20110308,5058,364,904,1265,1168,40,863,34520
116252,20160905,5095,364,904,1265,1168,100,896,89600
116674,20090223,5197,364,904,1265,1168,40,982,39280
116720,20140909,5198,364,904,1265,1168,40,920,36800
116743,20130720,5199,364,904,1265,1168,40,691,27640
116905,20171005,5214,364,904,1265,1168,40,809,32360
117054,20100108,5225,364,904,1265,1168,40,961,38440
117253,20120212,5247,364,904,1265,1168,186,760,141360
117305,20090723,5254,364,904,1265,1168,40,963,38520
117501,20120721,5283,364,904,1265,1168,70,963,67410
117768,20160403,5319,364,904,1265,1168,48,690,33120
117852,20110109,5325,364,904,1265,1168,102,657,67014
117906,20170420,5337,364,904,1265,1168,70,613,42910
118092,20170618,5368,364,904,1265,1168,106,630,66780
118126,20160227,5370,364,904,1265,1168,48,976,46848
118622,20100221,5449,364,904,1265,1168,59,661,38999
118841,20121128,5487,364,904,1265,1168,59,961,56699
118905,20110218,5489,364,904,1265,1168,62,511,31682
119065,20151117,5506,364,904,1265,1168,62,792,49104
119181,20180618,5517,364,904,1265,1168,62,812,50344
119348,20130130,5533,364,904,1265,1168,47,836,39292
119413,20150927,5537,364,904,1265,1168,40,554,22160
119470,20141117,5550,364,904,1265,1168,8,778,6224
130810,20180815,6484,364,904,1265,1168,20,929,18580
130916,20131003,6515,364,904,1265,1168,40,578,23120
130954,20170710,6518,364,904,1265,1168,32,840,26880
130966,20170602,6520,364,904,1265,1168,28,814,22792
131001,20131029,6521,364,904,1265,1168,24,546,13104
131082,20090221,6530,364,904,1265,1168,157,658,103306
131123,20111222,6546,364,904,1265,1168,40,897,35880
131133,20111022,6549,364,904,1265,1168,12,717,8604
131192,20180210,6552,364,904,1265,1168,160,563,90080
131232,20110525,6562,364,904,1265,1168,28,840,23520
131455,20110814,6615,364,904,1265,1168,80,542,43360
131463,20090926,6617,364,904,1265,1168,6,969,5814
135485,20181226,7147,364,904,1265,1168,120,817,98040
135562,20130813,7156,364,904,1265,1168,129,623,80367
135618,20110622,7162,364,904,1265,1168,9,796,7164
135657,20140820,7170,364,904,1265,1168,129,541,69789
135685,20170503,7172,364,904,1265,1168,120,830,99600
136120,20111003,7227,364,904,1265,1168,9,949,8541
136158,20180807,7231,364,904,1265,1168,220,841,185020
136202,20160702,7240,364,904,1265,1168,120,650,78000
136238,20150203,7249,364,904,1265,1168,9,970,8730
136332,20100514,7259,364,904,1265,1168,33,523,17259
140564,20110528,8262,364,904,1265,1168,24,827,19848
141643,20100530,8528,364,904,1265,1168,90,532,47880
142266,20120511,8677,364,904,1265,1168,356,747,265932
142463,20130719,8740,364,904,1265,1168,32,905,28960
145227,20170730,9886,364,904,1265,1168,148,813,120324
145415,20090324,9922,364,904,1265,1168,132,981,129492
146483,20100909,10073,364,904,1265,1168,1290,953,1229370
147994,20151223,10604,364,904,1265,1168,66,728,48048
158354,20140906,11676,364,904,1265,1168,24,572,13728
126841,20141223,6085,341,904,1265,1127,500,958,479000
150431,20181217,10945,290,904,1265,1084,1,881,881
153268,20160126,11398,282,904,1265,1249,1,681,681
153269,20111021,11388,282,904,1265,1264,1,951,951
130060,20151025,6374,345,940,1264,1265,1,973,973
126838,20130715,6085,345,931,1264,1265,42,697,29274
130061,20130922,6374,345,931,1264,1265,107,651,69657
134944,20131004,7053,345,931,1264,1265,3,544,1632
126837,20151119,6085,341,931,1264,1265,105,581,61005
157879,20100503,11601,282,931,1264,1121,1,802,802
126839,20170528,6085,341,906,1264,1265,38,872,33136
167095,20180329,12860,354,904,1264,1008,1,842,842
160662,20100110,12142,346,938,1263,1146,10000,514,5140000
160919,20160519,12154,345,938,1263,1114,1000,899,899000
123296,20111004,5860,332,903,1263,1121,34,978,33252
112057,20141124,4592,345,931,1260,1093,13,965,12545
112058,20150821,4592,345,931,1260,1084,22,765,16830
112054,20161002,4592,345,931,1259,1017,52,683,35516
112055,20140503,4592,345,931,1259,1084,5,903,4515
112056,20121205,4595,345,931,1259,1250,46,698,32108
120405,20160408,5644,345,923,1259,1121,1,998,998
107165,20140423,4192,331,905,1259,1084,3.235,683,2209.505
128608,20110929,6206,346,904,1259,1004,2,621,1242
128611,20100523,6204,346,904,1259,1122,1,796,796
128607,20171203,6204,345,904,1259,1004,1,520,520
128609,20160113,6200,345,904,1259,1060,5,698,3490
128610,20150222,6201,345,904,1259,1122,2,792,1584
153247,20091024,11388,338,904,1259,1250,6,528,3168
150762,20161228,10991,337,904,1259,1250,2,750,1500
164395,20100319,12449,330,904,1259,1250,200,551,110200
150761,20100801,10991,286,904,1259,1250,2,843,1686
153246,20160610,11388,285,904,1259,1250,6,917,5502
164615,20130804,12512,370,978,1258,1185,27000,854,23058000
135394,20100906,7130,346,978,1258,1056,859.11,559,480242.49
160915,20180120,12154,345,978,1258,1114,5300,797,4224100
130659,20100817,6438,346,977,1258,1123,700,886,620200
130661,20100922,6438,346,977,1258,1250,940,655,615700
130658,20150624,6438,345,977,1258,1123,2740,829,2271460
130660,20131102,6438,345,977,1258,1250,1880,923,1735240
160660,20121117,12142,345,975,1258,1146,36440,773,28168120
160914,20150202,12154,345,975,1258,1114,175,984,172200
160918,20120508,12155,345,975,1258,1212,684.7,557,381377.9
160917,20140925,12155,340,975,1258,1212,37,667,24679
161096,20100708,12162,346,972,1258,1114,85,621,52785
160916,20121126,12154,345,972,1258,1114,1750,948,1659000
113661,20140502,4652,345,968,1258,1121,4,700,2800
135326,20091002,7122,346,954,1258,1223,0.15,510,76.5
135327,20090512,7125,346,954,1258,1070,31.12,894,27821.28
165963,20150203,12705,329,954,1258,1040,44529,750,33396750
107168,20140115,4188,331,952,1258,1093,53.6,611,32749.6
