TransactionNumber,DateNumber,SpecieNumber,MarketingNumber,TermNumber,ImporterNumber,ExporterNumber,Quantity,UnitPrice,TotalPrice
134945,20160819,7053,273,931,1265,1252,50,627,31350
126844,20101208,6085,260,931,1265,1252,37,678,25086
126846,20131016,6085,367,921,1265,1264,60,504,30240
102376,20170318,3301,260,919,1265,1264,41,758,31078
126847,20171014,6085,282,919,1265,1264,5,761,3805
134948,20150501,7053,282,919,1265,1264,8,418,3344
134946,20170425,7053,277,914,1265,1252,79,752,59408
134947,20110104,7053,369,913,1265,1252,26,14,364
126843,20101109,6085,238,906,1265,1145,1,268,268
167085,20150811,6085,283,906,1265,1145,93,454,42222
126842,20100213,6085,260,906,1265,1145,40,272,10880
126845,20161001,6085,296,906,1265,1264,71,503,35713
126840,20090512,6085,201,906,1265,1093,81,999,80919
130350,20160831,6415,304,906,1265,1165,52,35,1820
104084,20160904,3595,220,904,1265,1168,97,552,53544
104415,20160319,3626,273,904,1265,1168,15,725,10875
116020,20110308,5058,364,904,1265,1168,5,413,2065
116252,20160905,5095,228,904,1265,1168,94,117,10998
116674,20090223,5197,372,904,1265,1168,78,331,25818
116720,20140909,5198,340,904,1265,1168,42,777,32634
116743,20130720,5199,251,904,1265,1168,11,738,8118
116905,20171005,5214,333,904,1265,1168,55,628,34540
117054,20100108,5225,275,904,1265,1168,43,49,2107
117253,20120212,5247,320,904,1265,1168,53,765,40545
117305,20090723,5254,204,904,1265,1168,52,291,15132
117501,20120721,5283,236,904,1265,1168,45,944,42480
117768,20160403,5319,290,904,1265,1168,31,851,26381
117852,20110109,5325,354,904,1265,1168,51,425,21675
117906,20170420,5337,295,904,1265,1168,9,304,2736
118092,20170618,5368,318,904,1265,1168,22,524,11528
118126,20160227,5370,304,904,1265,1168,55,813,44715
118622,20100221,5449,275,904,1265,1168,12,70,840
118841,20121128,5487,220,904,1265,1168,53,716,37948
118905,20110218,5489,349,904,1265,1168,51,654,33354
119065,20151117,5506,264,904,1265,1168,23,625,14375
119181,20180618,5517,242,904,1265,1168,50,903,45150
119348,20130130,5533,359,904,1265,1168,69,74,5106
119413,20150927,5537,203,904,1265,1168,78,482,37596
