DateNumber,FullDate,Year,MonthNumber,Day,MonthName,MonthShortName,DayOfWeek,DayNumberInYear
20090101,1/01/2009,2009,1,1,January,Jan,5,1
20100101,1/01/2010,2010,1,1,January,Jan,6,1
20110101,1/01/2011,2011,1,1,January,Jan,7,1
20120101,1/01/2012,2012,1,1,January,Jan,1,1
20130101,1/01/2013,2013,1,1,January,Jan,3,1
20140101,1/01/2014,2014,1,1,January,Jan,4,1
20150101,1/01/2015,2015,1,1,January,Jan,5,1
20160101,1/01/2016,2016,1,1,January,Jan,6,1
20170101,1/01/2017,2017,1,1,January,Jan,1,1
20180101,1/01/2018,2018,1,1,January,Jan,2,1
20190101,1/01/2019,2019,1,1,January,Jan,3,1
20090102,2/01/2009,2009,1,2,January,Jan,6,2
20100102,2/01/2010,2010,1,2,January,Jan,7,2
20110102,2/01/2011,2011,1,2,January,Jan,1,2
20120102,2/01/2012,2012,1,2,January,Jan,2,2
20130102,2/01/2013,2013,1,2,January,Jan,4,2
20140102,2/01/2014,2014,1,2,January,Jan,5,2
20150102,2/01/2015,2015,1,2,January,Jan,6,2
20160102,2/01/2016,2016,1,2,January,Jan,7,2
20170102,2/01/2017,2017,1,2,January,Jan,2,2
20180102,2/01/2018,2018,1,2,January,Jan,3,2
20190102,2/01/2019,2019,1,2,January,Jan,4,2
20090103,3/01/2009,2009,1,3,January,Jan,7,3
20100103,3/01/2010,2010,1,3,January,Jan,1,3
20110103,3/01/2011,2011,1,3,January,Jan,2,3
20120103,3/01/2012,2012,1,3,January,Jan,3,3
20130103,3/01/2013,2013,1,3,January,Jan,5,3
20140103,3/01/2014,2014,1,3,January,Jan,6,3
20150103,3/01/2015,2015,1,3,January,Jan,7,3
20160103,3/01/2016,2016,1,3,January,Jan,1,3
20170103,3/01/2017,2017,1,3,January,Jan,3,3
20180103,3/01/2018,2018,1,3,January,Jan,4,3
20190103,3/01/2019,2019,1,3,January,Jan,5,3
20090104,4/01/2009,2009,1,4,January,Jan,1,4
20100104,4/01/2010,2010,1,4,January,Jan,2,4
20110104,4/01/2011,2011,1,4,January,Jan,3,4
20120104,4/01/2012,2012,1,4,January,Jan,4,4
20130104,4/01/2013,2013,1,4,January,Jan,6,4
20140104,4/01/2014,2014,1,4,January,Jan,7,4
20150104,4/01/2015,2015,1,4,January,Jan,1,4
