TransactionKey,DateKey,SpecieKey,MarketingKey,TermKey,ImporterKey,ExporterKey,Quantity,UnitPrice,TotalPrice
100000,20161208,3001,331,901,1242,1165,1.0,905,905.0
100001,20170514,3002,301,901,1256,1210,1.0,896,896.0
100002,20140610,3003,324,902,1024,1175,43.0,682,29326.0
100003,20161002,3003,324,903,1024,1175,43.0,791,34013.0
100004,20101225,3003,325,903,1065,1109,700.0,521,364700.0
100005,20121104,3004,301,901,1256,1210,1.0,805,805.0
100006,20150101,3005,310,902,1034,1081,12.0,871,10452.0
100007,20171216,3005,322,902,1034,1081,4.0,902,3608.0
100008,20170329,3005,324,902,1034,1081,2.0,943,1886.0
100009,20140726,3006,331,904,1230,1090,4.0,943,3772.0
100010,20141114,3007,285,905,1250,1113,100.0,862,86200.0
100011,20140226,3008,351,904,1016,1168,2.0,646,1292.0
100012,20110401,3008,353,904,1043,1250,1.0,653,653.0
100013,20090408,3008,351,904,1117,1090,2.0,806,1612.0
100014,20111001,3008,202,904,1120,1250,1.0,551,551.0
100015,20100824,3008,351,904,1120,1250,1.0,705,705.0
100016,20150713,3008,228,901,1126,1050,1.0,823,823.0
100017,20181205,3008,216,903,1127,1050,1.0,929,929.0
100018,20121101,3008,351,904,1127,1120,1.0,982,982.0
100019,20100904,3008,351,904,1250,1043,5.0,726,3630.0
100020,20180608,3009,228,901,1126,1050,1.0,816,816.0
100021,20120416,3010,353,904,1250,1065,10.0,710,7100.0
100022,20120417,3011,316,902,1043,1250,3.0,743,2229.0
100023,20180217,3011,354,904,1155,1081,2.0,711,1422.0
100024,20120707,3012,310,901,1249,1121,2.0,689,1378.0
100025,20090809,3013,311,901,1249,1121,3.0,533,1599.0
100026,20100320,3014,296,901,1050,1249,1.0,576,576.0
100027,20090512,3015,355,904,1155,1081,2.0,555,1110.0
100028,20160610,3014,331,904,1213,1165,4.0,548,2192.0
100029,20110108,3014,351,904,1213,1165,4.0,783,3132.0
100030,20110411,3014,332,904,1219,1165,10.0,700,7000.0
100031,20150602,3016,301,906,1024,1230,1.0,783,783.0
100032,20160618,3016,301,906,1230,1024,1.0,980,980.0
100033,20120722,3017,333,904,1120,1165,2.0,605,1210.0
100034,20110831,3018,334,904,1120,1235,5.0,897,4485.0
100035,20120724,3019,329,904,1024,1049,7.5,574,4305.0
100036,20140627,3019,333,904,1024,1049,7500.0,722,5415000.0
100037,20090912,3020,330,904,1230,1024,8.0,966,7728.0
100038,20141124,3019,329,904,1230,1090,4.0,803,3212.0
100039,20110811,3019,334,904,1230,1118,163.0,755,123065.0
100040,20181015,3020,333,904,1120,1165,139.0,707,98273.0
100041,20101210,3019,330,904,1165,1049,60.0,957,57420.0
100042,20090531,3019,334,904,1165,1049,30000.0,805,24150000.0
100043,20110603,3021,334,907,1250,1165,29.0,946,27434.0
100044,20110716,3022,325,908,1090,1184,20.0,834,16680.0
100045,20151216,3022,324,903,1090,1184,120.0,762,91440.0
100046,20120727,3023,318,909,1017,1230,7.0,880,6160.0
100047,20090504,3023,325,909,1017,1230,1.0,979,979.0
100048,20100920,3024,325,903,1043,1094,700.0,804,562800.0
100049,20111216,3024,286,910,1043,1250,11.0,657,7227.0
100050,20170830,3024,292,910,1043,1250,3.0,864,2592.0
100051,20110527,3024,286,911,1043,1250,1.0,684,684.0
100052,20150409,3023,287,909,1090,1230,1.0,849,849.0
100053,20120812,3023,301,909,1090,1193,2.0,586,1172.0
100054,20101216,3024,293,910,1065,1094,3.0,630,1890.0
100055,20181113,3025,324,903,1165,1175,1438.0,617,887246.0
100056,20120514,3023,301,909,1165,1250,2.0,950,1900.0
100057,20171019,3024,324,903,1175,1094,1000.0,928,928000.0
100058,20151021,3026,324,903,1193,1250,20.0,676,13520.0
100059,20130802,3027,292,910,1250,1043,1.0,822,822.0
100060,20180717,3024,287,912,1250,1043,1.0,574,574.0
100061,20121020,3023,301,912,1250,1165,1.0,594,594.0
100062,20181105,3023,301,909,1250,1165,1.0,964,964.0
100063,20090222,3028,224,903,1081,1241,1.0,702,702.0
100064,20150701,3028,225,903,1252,1241,1.0,508,508.0
100065,20170326,3029,301,909,1081,1230,36.33,693,25176.69
100066,20130818,3029,225,913,1081,1241,3.0,680,2040.0
100067,20100715,3029,224,903,1252,1241,3.0,781,2343.0
100068,20101009,3030,325,903,1249,1250,60.0,750,45000.0
100069,20100201,3031,326,914,1120,1112,5.0,803,4015.0
100070,20160513,3032,225,903,1252,1241,1.0,995,995.0
100071,20140103,3033,324,914,1043,1250,25.0,834,20850.0
100072,20100909,3034,323,910,1165,1044,1.0,610,610.0
100073,20181026,3034,322,903,1165,1044,10.0,661,6610.0
100074,20140316,3035,345,915,1078,1175,864.0,961,830304.0
100075,20181024,3035,324,903,1109,1175,20.0,829,16580.0
100076,20110210,3035,346,915,1120,1175,199000.0,569,113231000.0
100077,20160130,3035,327,914,1120,1112,10.0,574,5740.0
100078,20170405,3035,230,903,1127,1050,26.0,611,15886.0
100079,20121213,3036,324,903,1250,1016,1.0,606,606.0
100080,20160418,3037,285,915,1250,1090,1.0,605,605.0
100081,20130416,3035,285,915,1250,1080,1.0,654,654.0
100082,20090829,3035,286,915,1250,1109,230.0,663,152490.0
100083,20171211,3035,285,915,1250,1109,1.0,881,881.0
100084,20150126,3035,285,915,1250,1109,3.0,759,2277.0
100085,20140514,3038,285,915,1250,1175,300.0,927,278100.0
