TransactionKey,Quantity,UnitPrice,TotalPrice
100000,1.0,905,905.0
100001,1.0,896,896.0
100002,43.0,682,29326.0
100003,43.0,791,34013.0
100004,700.0,521,364700.0
100005,1.0,805,805.0
100006,12.0,871,10452.0
100007,4.0,902,3608.0
100008,2.0,943,1886.0
100009,4.0,943,3772.0
100010,100.0,862,86200.0
100011,2.0,646,1292.0
100012,1.0,653,653.0
100013,2.0,806,1612.0
100014,1.0,551,551.0
100015,1.0,705,705.0
100016,1.0,823,823.0
100017,1.0,929,929.0
100018,1.0,982,982.0
100019,5.0,726,3630.0
100020,1.0,816,816.0
100021,10.0,710,7100.0
100022,3.0,743,2229.0
100023,2.0,711,1422.0
100024,2.0,689,1378.0
100025,3.0,533,1599.0
100026,1.0,576,576.0
100027,2.0,555,1110.0
100028,4.0,548,2192.0
100029,4.0,783,3132.0
100030,10.0,700,7000.0
100031,1.0,783,783.0
100032,1.0,980,980.0
100033,2.0,605,1210.0
100034,5.0,897,4485.0
100035,7.5,574,4305.0
100036,7500.0,722,5415000.0
100037,8.0,966,7728.0
100038,4.0,803,3212.0
100039,163.0,755,123065.0
100040,139.0,707,98273.0
100041,60.0,957,57420.0
100042,30000.0,805,24150000.0
100043,29.0,946,27434.0
100044,20.0,834,16680.0
100045,120.0,762,91440.0
100046,7.0,880,6160.0
100047,1.0,979,979.0
100048,700.0,804,562800.0
100049,11.0,657,7227.0
100050,3.0,864,2592.0
100051,1.0,684,684.0
100052,1.0,849,849.0
100053,2.0,586,1172.0
100054,3.0,630,1890.0
100055,1438.0,617,887246.0
100056,2.0,950,1900.0
100057,1000.0,928,928000.0
100058,20.0,676,13520.0
100059,1.0,822,822.0
100060,1.0,574,574.0
100061,1.0,594,594.0
100062,1.0,964,964.0
100063,1.0,702,702.0
100064,1.0,508,508.0
100065,36.33,693,25176.69
100066,3.0,680,2040.0
100067,3.0,781,2343.0
100068,60.0,750,45000.0
100069,5.0,803,4015.0
100070,1.0,995,995.0
100071,25.0,834,20850.0
100072,1.0,610,610.0
100073,10.0,661,6610.0
100074,864.0,961,830304.0
100075,20.0,829,16580.0
100076,199000.0,569,113231000.0
100077,10.0,574,5740.0
100078,26.0,611,15886.0
100079,1.0,606,606.0
100080,1.0,605,605.0
100081,1.0,654,654.0
100082,230.0,663,152490.0
100083,1.0,881,881.0
100084,3.0,759,2277.0
100085,300.0,927,278100.0
100086,1970.0,614,1209580.0
100087,0.85,619,526.15
100088,32.0,769,24608.0
100089,1.0,809,809.0
100090,4.0,838,3352.0
100091,1.0,749,749.0
100092,1.0,984,984.0
100093,1.0,976,976.0
100094,333.0,526,175158.0
100095,45.0,899,40455.0
100096,5.0,578,2890.0
100097,1.0,647,647.0
100098,63.0,881,55503.0
100099,90.0,688,61920.0
100100,100.0,520,52000.0
100101,2.0,658,1316.0
100102,0.2,559,111.8
100103,1.0,592,592.0
100104,25.0,910,22750.0
100105,220.0,982,216040.0
100106,24.2,761,18416.2
100107,91.0,693,63063.0
100108,10.0,888,8880.0
100109,15.0,547,8205.0
100110,5.0,892,4460.0
100111,850.0,564,479400.0
100112,0.4,882,352.8
100113,1.0,773,773.0
100114,1.0,953,953.0
100115,12.0,831,9972.0
100116,4.0,518,2072.0
100117,1.0,934,934.0
100118,10.0,734,7340.0
100119,10.0,573,5730.0
100120,100.0,574,57400.0
100121,15.0,758,11370.0
100122,2.0,838,1676.0
100123,8.0,519,4152.0
100124,0.1,607,60.7
100125,1.0,857,857.0
100126,11.0,626,6886.0
100127,1.0,789,789.0
100128,5.0,823,4115.0
100129,1.0,539,539.0
100130,101.0,879,88779.0
100131,10.0,612,6120.0
100132,98.0,662,64876.0
100133,1.0,808,808.0
100134,1.0,642,642.0
100135,80.0,849,67920.0
100136,168.0,707,118776.0
100137,1.0,982,982.0
100138,144.0,860,123840.0
100139,40.0,911,36440.0
100140,158.0,659,104122.0
100141,16.0,548,8768.0
100142,26.0,700,18200.0
100143,47.0,891,41877.0
100144,98.0,576,56448.0
100145,1.0,872,872.0
100146,1.0,812,812.0
100147,4.0,678,2712.0
100148,22.0,838,18436.0
100149,2.0,741,1482.0
100150,4.0,617,2468.0
100151,2.0,736,1472.0
100152,1.0,788,788.0
100153,2.0,549,1098.0
100154,1.0,863,863.0
100155,6.0,533,3198.0
100156,3.0,563,1689.0
