DateKey,Date,DateYear,DateDay,DateMonth
20090101,01/01/2009,2009,1,1
20090102,01/02/2009,2009,1,2
20090103,01/03/2009,2009,1,3
20090104,01/04/2009,2009,1,4
20090105,01/05/2009,2009,1,5
20090106,01/06/2009,2009,1,6
20090107,01/07/2009,2009,1,7
20090108,01/08/2009,2009,1,8
20090109,01/09/2009,2009,1,9
20090110,01/10/2009,2009,1,10
20090111,01/11/2009,2009,1,11
20090112,01/12/2009,2009,1,12
20090113,01/13/2009,2009,1,13
20090114,01/14/2009,2009,1,14
20090115,01/15/2009,2009,1,15
20090116,01/16/2009,2009,1,16
20090117,01/17/2009,2009,1,17
20090118,01/18/2009,2009,1,18
20090119,01/19/2009,2009,1,19
20090120,01/20/2009,2009,1,20
20090121,01/21/2009,2009,1,21
20090122,01/22/2009,2009,1,22
20090123,01/23/2009,2009,1,23
20090124,01/24/2009,2009,1,24
20090125,01/25/2009,2009,1,25
20090126,01/26/2009,2009,1,26
20090127,01/27/2009,2009,1,27
20090128,01/28/2009,2009,1,28
20090129,01/29/2009,2009,1,29
20090130,01/30/2009,2009,1,30
20090131,01/31/2009,2009,1,31
20090201,02/01/2009,2009,2,1
20090202,02/02/2009,2009,2,2
20090203,02/03/2009,2009,2,3
20090204,02/04/2009,2009,2,4
20090205,02/05/2009,2009,2,5
20090206,02/06/2009,2009,2,6
20090207,02/07/2009,2009,2,7
20090208,02/08/2009,2009,2,8
20090209,02/09/2009,2009,2,9
20090210,02/10/2009,2009,2,10
20090211,02/11/2009,2009,2,11
20090212,02/12/2009,2009,2,12
20090213,02/13/2009,2009,2,13
20090214,02/14/2009,2009,2,14
20090215,02/15/2009,2009,2,15
20090216,02/16/2009,2009,2,16
20090217,02/17/2009,2009,2,17
20090218,02/18/2009,2009,2,18
20090219,02/19/2009,2009,2,19
20090220,02/20/2009,2009,2,20
20090221,02/21/2009,2009,2,21
20090222,02/22/2009,2009,2,22
20090223,02/23/2009,2009,2,23
20090224,02/24/2009,2009,2,24
20090225,02/25/2009,2009,2,25
20090226,02/26/2009,2009,2,26
20090227,02/27/2009,2009,2,27
20090228,02/28/2009,2009,2,28
20090301,03/01/2009,2009,3,1
20090302,03/02/2009,2009,3,2
20090303,03/03/2009,2009,3,3
20090304,03/04/2009,2009,3,4
20090305,03/05/2009,2009,3,5
20090306,03/06/2009,2009,3,6
