SpecieID,AppClass,Taxon,Class,Order_Info,Family,Genus,Origin
3001,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CZ
3002,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,RS
3003,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,
3004,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,RS
3005,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,
3006,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,
3007,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,
3008,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,
3009,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,
3010,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,
3011,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,XX
3012,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB
3013,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,
3014,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,
3015,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,XX
3016,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,XX
3017,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,
3018,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,
3019,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,
3020,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CL
3021,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,GB
3022,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,
3023,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,XX
3024,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,
3025,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL
3026,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,RU
3027,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US
3028,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,XX
3029,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,XX
3030,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,BR
3031,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,
