SpecieKey,AppClass,Taxon,Class,Order_Info,Family,Genus,Origin
0,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CZ
1,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,RS
2,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,
3,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,RS
4,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,
5,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,
6,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,
7,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,
8,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,
9,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,
10,I,Anas laysanensis,Aves,Anseriformes,Anatidae,Anas,XX
11,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,GB
12,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,
13,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,
14,I,Branta sandvicensis,Aves,Anseriformes,Anatidae,Branta,XX
15,I,Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,XX
16,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,
17,I,Pachypodium decaryi,,Gentianales,Apocynaceae,Pachypodium,
18,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,
19,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,CL
20,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,GB
21,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,
22,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,XX
23,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,
24,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GL
25,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,RU
26,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US
27,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,XX
28,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,XX
29,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,BR
30,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,
31,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DK
32,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,
33,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
34,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
35,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES
36,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO
37,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX
38,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
39,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US
40,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
41,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FK
42,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
43,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
44,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,
45,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,
46,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,XX
47,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US
48,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR
49,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,
50,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE
51,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,
52,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,
53,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,US
54,I,Bos gaurus,Mammalia,Artiodactyla,Bovidae,Bos,
55,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,
56,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BY
57,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,PK
58,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,XX
59,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,TJ
60,I,Capricornis milneedwardsii,Mammalia,Artiodactyla,Bovidae,Capricornis,
61,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,XX
62,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,
63,I,Gazella spp.,Mammalia,Artiodactyla,Bovidae,Gazella,
64,I,Gazella cuvieri,Mammalia,Artiodactyla,Bovidae,Gazella,
65,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,AO
66,I,Naemorhedus goral,Mammalia,Artiodactyla,Bovidae,Naemorhedus,
67,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,
68,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,
69,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ZA
70,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,US
71,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BH
72,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,XX
73,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,
74,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,XX
75,I,Ovis ammon,Mammalia,Artiodactyla,Bovidae,Ovis,TJ
76,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,XX
77,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,AT
78,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,
79,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,XX
80,I,Nectophrynoides asperginis,Amphibia,Anura,Bufonidae,Nectophrynoides,
81,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,
82,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,US
83,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,
84,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,
85,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,FR
86,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,CA
87,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,XX
88,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,BE
89,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,AR
90,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,DE
91,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,
92,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CA
93,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CZ
94,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,AT
95,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,DK
96,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,HU
97,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,IT
98,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,US
99,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,
100,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,PH
101,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,XX
102,I,Ariocarpus agavoides,,Caryophyllales,Cactaceae,Ariocarpus,
103,I,Ariocarpus bravoanus,,Caryophyllales,Cactaceae,Ariocarpus,
104,I,Ariocarpus fissuratus,,Caryophyllales,Cactaceae,Ariocarpus,
